question,doc_id,doc_type
"Who was the player of the match in Iraq vs Norway on June 16, 2026?",match-18,match
What was the final score of the World Cup match between Norway and Iraq?,match-18,match
How many goals did Erling Braut Haaland score against Iraq in the 2026 World Cup group stage?,match-18,match
What was the final score of the South Africa vs Canada match at the 2026 World Cup?,match-73,match
"Who scored the goal in the Canada vs South Africa game on June 29, 2026?",match-73,match
Where was the South Africa and Canada Round of 32 match played?,match-73,match
What was the final score of Spain vs Belgium in the 2026 World Cup quarter-finals?,match-98,match
"Who scored for Spain in the quarter-final match against Belgium on July 10, 2026?",match-98,match
Where was the Spain vs Belgium quarter-final match played?,match-98,match
What was the final score of the Germany vs Curaçao World Cup 2026 match?,match-9,match
Who was the player of the match in Germany's game against Curaçao on June 14 2026?,match-9,match
How many goals did Kai Havertz score against Curaçao in the World Cup group stage?,match-9,match
"What was the final score of the Germany vs Côte d'Ivoire match on June 20, 2026?",match-33,match
Who scored for Germany against Côte d'Ivoire in the 2026 World Cup group stage?,match-33,match
Which player won player of the match in the Germany vs Côte d'Ivoire game at Mercedes-Benz Stadium?,match-33,match
"What was the final score of the Iran vs New Zealand match on June 15, 2026?",match-16,match
Who scored for Iran against New Zealand in the 2026 World Cup group stage match?,match-16,match
Where did Iran play New Zealand in the 2026 World Cup?,match-16,match
"What was the final score of the Cabo Verde vs Saudi Arabia match on June 27, 2026?",match-64,match
How many yellow cards did Saudi Arabia receive in the Cabo Verde match?,match-64,match
Where did Cabo Verde play Saudi Arabia in the 2026 World Cup group stage?,match-64,match
"Who scored the goals in the Curaçao vs Côte d'Ivoire match on June 26, 2026?",match-58,match
What was the final score of the match between Curaçao and Côte d'Ivoire played in Philadelphia?,match-58,match
How many shots on target did Côte d'Ivoire have against Curaçao in their World Cup group stage match?,match-58,match
"What was the final score of the New Zealand vs Belgium match on June 27, 2026?",match-61,match
Who scored a brace in the Belgium vs New Zealand World Cup match?,match-61,match
Where did the Belgium and New Zealand play their World Cup group stage match?,match-61,match
What was the final score of the Portugal vs Croatia match on July 3rd 2026?,match-84,match
Where was the Portugal vs Croatia World Cup 2026 Round of 32 match played?,match-84,match
Who scored for Portugal in their match against Croatia in the 2026 World Cup?,match-84,match
"What was the final score of the Czechia vs Mexico match on June 24, 2026?",match-49,match
Who scored the goals in Mexico's victory over Czechia in their World Cup group stage match?,match-49,match
Where did Czechia play against Mexico in the 2026 World Cup?,match-49,match
"What was the final score of the Canada vs Qatar match on June 18, 2026?",match-27,match
Who was awarded player of the match in the Canada Qatar World Cup 2026 game?,match-27,match
How many goals did Jonathan Christian David score in the Canada vs Qatar match?,match-27,match
"What was the final score of the Spain vs Cabo Verde match on June 15, 2026?",match-13,match
Where did Spain play Cabo Verde in the World Cup 2026 group stage?,match-13,match
Who was named player of the match in the Spain versus Cabo Verde game at Mercedes-Benz Stadium?,match-13,match
What was the final score of the Uruguay vs Spain match in the 2026 World Cup?,match-63,match
"Who scored the goal in Spain's win against Uruguay on June 27, 2026?",match-63,match
Which stadium hosted the Uruguay versus Spain match during the 2026 World Cup group stage?,match-63,match
Who scored for the USA in their 4-1 World Cup 2026 match against Paraguay?,match-4,match
What was the attendance or location of the USA vs Paraguay match on June 12 2026?,match-4,match
How many shots did Paraguay have on target in their group stage game against the USA?,match-4,match
Who won the South Africa vs South Korea match at the 2026 World Cup and what was the final score?,match-50,match
When did Thapelo Maseko score against South Korea in the group stage?,match-50,match
Which stadium hosted the South Africa and South Korea World Cup match in 2026?,match-50,match
"What was the final score of the Paraguay vs Australia match on June 25, 2026?",match-56,match
Where was the Paraguay Australia World Cup match played?,match-56,match
Who was awarded player of the match in the Paraguay Australia group stage game?,match-56,match
"What was the final score of the France vs Sweden match on July 1, 2026?",match-78,match
Who was the player of the match when France played Sweden in the Round of 32?,match-78,match
Where did France and Sweden play their 2026 World Cup match?,match-78,match
"Who scored for Mexico against South Africa on June 11, 2026?",match-1,match
What was the final score of Mexico vs South Africa in the 2026 World Cup group stage?,match-1,match
How many red cards were shown in the Mexico vs South Africa match at the 2026 World Cup?,match-1,match
What was the final score of the France vs Morocco quarter-final match in 2026?,match-97,match
"Who scored the goals in the France Morocco World Cup match on July 9, 2026?",match-97,match
Where was the France vs Morocco quarter-finals match played?,match-97,match
How many goals did Cody Gakpo score in the Netherlands vs Sweden match during World Cup 2026?,match-35,match
"What was the final score of the Netherlands and Sweden game on June 20, 2026?",match-35,match
Which stadium hosted the Netherlands vs Sweden World Cup match and who was the player of the match?,match-35,match
Who scored for Morocco against Scotland in the World Cup 2026 group stage?,match-30,match
"What was the final score of the Scotland vs Morocco match on June 19, 2026?",match-30,match
Where was the Scotland vs Morocco World Cup 2026 match played?,match-30,match
"Who won the Netherlands vs Morocco match on June 30, 2026?",match-76,match
What was the final score of the Round of 32 match between Netherlands and Morocco in the 2026 World Cup?,match-76,match
Where did Netherlands play Morocco in the 2026 World Cup Round of 32?,match-76,match
"What was the final score of the Belgium vs Egypt match on June 15, 2026?",match-14,match
Who was named player of the match in the Belgium Egypt game at Seattle Stadium?,match-14,match
Where did Hamed Mahrous Mohamed Salah's assist lead to in the Belgium vs Egypt World Cup match?,match-14,match
What was the final score of the France vs Iraq World Cup 2026 match?,match-41,match
"Who scored the goals in France's match against Iraq on June 22, 2026?",match-41,match
Where was the France vs Iraq World Cup 2026 group stage match played?,match-41,match
What was the final score of the Canada vs Morocco match at the 2026 World Cup Round of 16?,match-90,match
"Who scored the goals for Morocco in their victory against Canada on July 4, 2026?",match-90,match
"Where did Canada play Morocco in the 2026 World Cup Round of 16, and who was the referee?",match-90,match
"What was the final score of the Canada vs Bosnia and Herzegovina match on June 12, 2026?",match-3,match
Who scored the goals in the Canada and Bosnia and Herzegovina World Cup match?,match-3,match
What was the player of the match award winner in the Canada vs Bosnia and Herzegovina game at BMO Field?,match-3,match
What was the final score of Mexico vs Ecuador in the 2026 World Cup Round of 32?,match-79,match
"Who scored for Mexico in the match against Ecuador on July 1st, 2026?",match-79,match
Which player received a red card in the Mexico vs Ecuador match?,match-79,match
"What was the final score of the Congo DR vs Uzbekistan match on June 28, 2026?",match-70,match
Who scored for Uzbekistan in their match against Congo DR at Guadalajara Stadium?,match-70,match
How many goals did Yoane Wissa score in the Congo DR versus Uzbekistan game?,match-70,match
"Who scored in the South Korea vs Czechia match on June 11, 2026?",match-2,match
What was the final score of the World Cup 2026 group stage match between South Korea and Czechia?,match-2,match
Where was the South Korea vs Czechia World Cup match played in 2026?,match-2,match
What was the final score of the USA vs Belgium match in the 2026 World Cup Round of 16?,match-94,match
"Who scored for Belgium in their Round of 16 victory on July 7, 2026?",match-94,match
Where was the USA vs Belgium Round of 16 match played in 2026?,match-94,match
"What was the final score of Switzerland vs Bosnia and Herzegovina on June 18, 2026?",match-28,match
Who scored in the Switzerland vs Bosnia and Herzegovina match at Seattle Stadium?,match-28,match
What was Johan Kula Manzambi's performance in the Switzerland Bosnia and Herzegovina game?,match-28,match
"What was the final score of the Türkiye vs USA match on June 25, 2026?",match-55,match
Who scored for Türkiye in their match against USA at SoFi Stadium?,match-55,match
Who was named player of the match in the USA vs Türkiye game played in Inglewood?,match-55,match
"What was the final score of the Côte d'Ivoire vs Norway match on June 30, 2026?",match-77,match
Who scored the winning goal for Norway against Côte d'Ivoire in the Round of 32?,match-77,match
Where was the Côte d'Ivoire and Norway World Cup 2026 match played?,match-77,match
What was the final score of the Algeria vs Austria World Cup 2026 match?,match-68,match
"Who was named player of the match in the Algeria vs Austria game on June 27, 2026?",match-68,match
How many goals did Riyad Karim Mahrez score against Austria in the 2026 World Cup group stage?,match-68,match
"What was the final score of the Brazil vs Haiti match on June 19, 2026?",match-29,match
Who scored the goals in the Brazil Haiti World Cup 2026 group stage match?,match-29,match
Where and when did Brazil play Haiti in the 2026 World Cup group stage?,match-29,match
"What was the final score of the Ecuador vs Germany match on June 26, 2026?",match-57,match
Who scored for Ecuador in their World Cup group stage match against Germany?,match-57,match
What was the possession percentage for Germany in their match against Ecuador at Houston Stadium?,match-57,match
Who scored in the England vs Argentina World Cup 2026 semi-final?,match-102,match
What was the final score of the England versus Argentina match on July 15 2026?,match-102,match
Which player assisted Lautaro Martinez's goal against England in the semi-finals?,match-102,match
What was the final score of the Spain vs Austria match in the Round of 32?,match-83,match
"Who scored for Spain in the match against Austria on July 3rd, 2026?",match-83,match
Where was the Spain vs Austria World Cup match played?,match-83,match
"What was the final score of the Portugal vs Uzbekistan match on June 23, 2026?",match-45,match
Who scored for Portugal in the match at Houston Stadium on 2026-06-23?,match-45,match
What was Cristiano Ronaldo's performance in Portugal's game against Uzbekistan in the World Cup 2026 group stage?,match-45,match
What was the final score of the Senegal vs Iraq match in the 2026 World Cup group stage?,match-66,match
Who scored in the Senegal Iraq game on June 26 2026 and how many goals did each team get?,match-66,match
"Where did Senegal play Iraq on June 26, 2026 and who was named player of the match?",match-66,match
What was the final score of the Jordan vs Algeria match in the 2026 World Cup group stage?,match-44,match
Who scored the goals in the Algeria vs Jordan match played on June 22 2026?,match-44,match
What were the possession statistics for Jordan and Algeria in their World Cup match in Santa Clara?,match-44,match
"What was the final score of the Saudi Arabia vs Uruguay match on June 15, 2026?",match-15,match
Who scored the goals in the Saudi Arabia Uruguay World Cup match?,match-15,match
Where did Saudi Arabia play Uruguay in the 2026 World Cup group stage?,match-15,match
"What was the final score of the Brazil vs Japan match on June 29, 2026?",match-74,match
Who was named Player of the Match in the Brazil versus Japan World Cup game?,match-74,match
How many shots on target did Japan have against Brazil in their 2026 World Cup match?,match-74,match
"What was the final score of the Argentina vs Jordan match on June 27, 2026?",match-67,match
Who scored for Jordan in their group stage match against Argentina?,match-67,match
Which player was named player of the match in the Argentina-Jordan World Cup game?,match-67,match
What was the final score of Argentina vs Algeria in the 2026 World Cup?,match-19,match
"How many goals did Messi score against Algeria on June 16, 2026?",match-19,match
Where did Argentina play Algeria in the 2026 World Cup group stage?,match-19,match
What was the final penalty shootout score between Germany and Paraguay in their 2026 World Cup match?,match-75,match
"Who scored for Germany in the 54th minute against Paraguay on June 30, 2026?",match-75,match
How many shots on target did Paraguay have in their Round of 32 match at Gillette Stadium?,match-75,match
"Who scored the winning goal in the Portugal vs Spain match on July 6, 2026?",match-93,match
What was the final score of the Round of 16 game between Portugal and Spain in Miami?,match-93,match
How many shots on target did Spain have against Portugal in their 2026 World Cup match?,match-93,match
"What was the final score of the Morocco vs Haiti match on June 25, 2026?",match-54,match
Who was the player of the match in Morocco's game against Haiti at Mercedes-Benz Stadium?,match-54,match
How many shots on target did Haiti take in their match against Morocco in the 2026 World Cup Group Stage?,match-54,match
"Who scored in the Tunisia vs Japan match on June 20, 2026?",match-36,match
What was the final score of Japan's match at Arrowhead Stadium in Kansas City?,match-36,match
How many goals did Ayase Ueda score against Tunisia in the 2026 World Cup?,match-36,match
What was the final score of the Norway vs Senegal World Cup 2026 match?,match-42,match
"Who scored the goals for Senegal in their group stage match against Norway on June 22, 2026?",match-42,match
Where was the Norway Senegal match played and who was the referee?,match-42,match
"What was the final score of the Haiti vs Scotland match on June 13, 2026?",match-7,match
Who was named player of the match in the Scotland game against Haiti at Gillette Stadium?,match-7,match
How many shots did Haiti have compared to Scotland in their World Cup group stage match?,match-7,match
"What was the final score of the Sweden vs Tunisia World Cup match on June 14, 2026?",match-12,match
Who was named player of the match in the Sweden vs Tunisia game and where was it played?,match-12,match
How many goals did Alexander Isak score against Tunisia in the 2026 World Cup group stage?,match-12,match
What was the final score of the England vs Congo DR match in the 2026 World Cup Round of 32?,match-80,match
Who scored for England against Congo DR on July 1st 2026?,match-80,match
Where did England play Congo DR in the 2026 World Cup?,match-80,match
What was the final score of the England vs Ghana match at the 2026 World Cup?,match-47,match
"Who was the referee for the England and Ghana group stage match on June 23, 2026?",match-47,match
How many shots on target did each team have in the England vs Ghana game at AT&T Stadium?,match-47,match
"What was the final score of the Tunisia vs Netherlands match on June 26, 2026?",match-59,match
How many shots did Netherlands take against Tunisia in their World Cup group stage match?,match-59,match
Who was named player of the match in the Tunisia vs Netherlands game at Arrowhead Stadium?,match-59,match
"What was the final score of the Australia vs Turkey match on June 13, 2026?",match-8,match
Who scored for Australia in their match against Turkey in the 2026 World Cup group stage?,match-8,match
Where did Australia play Turkey during the 2026 World Cup and who was the referee?,match-8,match
What was the final score of England vs Croatia on June 17 2026?,match-22,match
Who won the player of the match award in the England Croatia game at AT&T Stadium?,match-22,match
How many goals did Harry Kane score against Croatia in the 2026 World Cup group stage?,match-22,match
"What was the final score of the Colombia vs Congo DR match on June 23, 2026?",match-46,match
Who scored the goal in the Colombia 1-0 Congo DR game and who provided the assist?,match-46,match
Which player won the Man of the Match award in the Colombia vs Congo DR World Cup group stage match?,match-46,match
Who was named player of the match in the Argentina vs Switzerland World Cup quarter-final?,match-100,match
"What was the final score of the Argentina Switzerland quarter-final match on July 12, 2026?",match-100,match
Where did the Argentina vs Switzerland quarter-final take place during the 2026 World Cup?,match-100,match
What was the final score of the France vs England third-place match at the 2026 World Cup?,match-103,match
"Who scored a hat-trick in the France vs England match on July 18, 2026?",match-103,match
Where was the 2026 World Cup third-place match between France and England played?,match-103,match
"What was the final score of the Norway vs France match on June 26, 2026?",match-65,match
Who scored a hat-trick in the France vs Norway World Cup group stage game?,match-65,match
Where was the Norway France match played and who was the referee?,match-65,match
What was the final score of the Mexico vs England Round of 16 match in the 2026 World Cup?,match-92,match
"Who scored the most goals in the Mexico versus England match on July 6, 2026?",match-92,match
Which England player received a red card against Mexico in the 2026 World Cup Round of 16?,match-92,match
"What was the final score of the Austria vs Jordan match on June 16, 2026?",match-20,match
Where did Austria play Jordan during the 2026 World Cup group stage?,match-20,match
"Who scored for Jordan in their match against Austria on June 16, 2026?",match-20,match
What was the final score of the Switzerland vs Colombia match in the 2026 World Cup Round of 16?,match-96,match
